url,title,body,has_marcos,has_sara,pub_year
https://www.rappler.com/philippines/investment-deals-marcos-jr-germany-visit-march-2024/,Philippines secures $4 billion in investment deals during Marcos’ Germany visit,,True,False,2024
https://www.rappler.com/philippines/marcos-vows-countermeasures-against-china-attacks-march-28-2024/,Marcos vows countermeasures vs China’s ‘dangerous attacks’,,True,False,2024
https://www.rappler.com/newsbreak/in-depth/240949-status-updates-rulings-court-cases-vs-marcos-family/,"What’s the latest on cases vs Imelda Marcos, family?",,True,False,2019
https://www.rappler.com/philippines/103772-bongbong-marcos-regime-no-apologies/,Marcos on dad’s regime: What am I to apologize for?,,True,False,2015
https://www.rappler.com/philippines/menardo-guevarra-marcos-jr-solicitor-general/,Incoming solicitor general Guevarra: From Aquino to Duterte and now Marcos,,True,False,2022
https://www.rappler.com/philippines/marcos-statement-ayungin-incident-china-not-armed-attack-west-sea-june-2024/,"Marcos on Ayungin incident: Deliberate action by China, but not armed attack",,True,False,2024
https://www.rappler.com/philippines/diokno-says-marcos-jr-agrees-reduce-military-pension/,"Marcos agrees to reduce military pension, make soldiers pay for it – Diokno",,True,False,2023
https://www.rappler.com/philippines/marcos-jr-says-government-not-allow-rodrigo-duterte-arrest-international-criminal-court/,"Philippine gov’t will not turn in Duterte to ICC, says Marcos",,True,False,2024
https://www.rappler.com/philippines/mindanao/sara-duterte-says-father-brothers-run-senate-seats-2025-elections/,"Sara Duterte says her father, 2 brothers to run for Senate seats",,False,True,2024
https://www.rappler.com/philippines/sara-duterte-response-continued-china-bullying-no-comment-april-8-2024/,Sara Duterte on continued China bullying: No comment,,False,True,2024
https://www.rappler.com/voices/newsletters/investigates-china-west-philippine-sea-de-lima-free-sara-duterte-quit-deped-secretary/,"[Rappler Investigates] When China, Leila, Sara conspire",,False,True,2024
https://www.rappler.com/newsbreak/in-depth/sara-duterte-brings-red-tagging-deped/,Sara Duterte brings red-tagging to DepEd,,False,True,2023
https://www.rappler.com/philippines/document-sara-duterte-letter-requesting-confidential-funds-2022/,Read Sara Duterte’s 2022 letter that triggered the confidential fund fiasco,,False,True,2023
https://www.rappler.com/newsbreak/inside-track/negros-occidental-governor-sees-sara-duterte-backed-challenger-2025-elections/https://www.rappler.com/philippines/reactions-sector-leaders-politicians-provinces-sara-duterte-resignation-deped/,Mixed reactions across provinces greet Sara Duterte’s resignation,,False,True,2024
https://www.rappler.com/voices/thought-leaders/the-slingshot-red-zipper-mouth-of-sara-duterte/,[The Slingshot] Red zipper on the mouth of Sara Duterte,,False,True,2024
https://www.rappler.com/philippines/marcos-defends-sara-duterte-silence-china-aggression-sea-dispute/,Marcos defends Sara Duterte’s silence on China aggression in West PH Sea,,True,True,2024
https://www.rappler.com/philippines/sara-duterte-draws-flak-statement-confidential-fund-critics-enemies-peace-october-2023/,Sara Duterte draws flak for calling confidential fund critics ‘enemies of peace’,,False,True,2023
https://www.rappler.com/philippines/experts-petition-supreme-court-order-sara-duterte-return-confidential-funds/,Experts go to SC: Sara Duterte must return P125-M confidential funds,,False,True,2023
https://www.rappler.com/philippines/sara-duterte-resignation-filipinos-online-wish-list-next-deped-secretary/,"After Sara Duterte exit, Filipinos online share who they want next as DepEd chief",,False,True,2024
https://www.rappler.com/philippines/sara-duterte-viral-video-angry-teacher-she-just-human-no-penalties/,"Sara Duterte on viral video of irate teacher: She’s just human, no penalties for her",,False,True,2024
https://www.rappler.com/philippines/mindanao/davao-confidential-funds-spending-soared-under-sara-duterte/,"P460M a year: Under Sara Duterte, Davao’s confidential funds soared",,False,True,2023
https://www.rappler.com/philippines/sara-duterte-urged-fix-teaching-quality-chair-teacher-education-council/,Sara Duterte urged to fix teaching quality as chair of Teacher Education Council,,False,True,2024
https://www.rappler.com/philippines/sara-duterte-statement-government-cooperation-icc-probe-drug-war/,Sara Duterte: Allowing ICC probe ‘degrades Philippine legal institutions’,,False,True,2023
https://www.rappler.com/newsbreak/in-depth/sara-duterte-resorts-personal-attacks-critics-confidential-funds-budget/,"In confidential funds fiasco, Sara Duterte resorts to personal attacks vs critics",,False,True,2023
https://www.rappler.com/newsbreak/in-depth/how-sara-duterte-led-department-education/,How Sara Duterte led DepEd for 2 years,,False,True,2024
https://www.rappler.com/philippines/sara-duterte-ntf-elcac-co-vice-chairperson/,Sara Duterte is new NTF-ELCAC co-vice chair,,False,True,2023
https://www.rappler.com/philippines/marcos-says-no-rift-vice-president-sara-after-rodrigo-duterte-tirades/,Marcos says he and VP Sara are okay after Rodrigo Duterte’s tirades,,True,True,2024
https://www.rappler.com/newsbreak/in-depth/sara-duterte-gives-up-bid-confidential-funds-2024-budget-political-strategy/,Sara Duterte gives up bid for confidential funds: Mere political strategy?,,False,True,2023
https://www.rappler.com/philippines/results-pulse-asia-2028-presidential-vice-presidential-survey-march-2024/,"Raffy Tulfo, Sara Duterte top Pulse Asia’s 2028 presidential survey",,False,True,2024
https://www.rappler.com/philippines/gloria-macapagal-arroyo-sara-duterte-history/,From GMA to Sara Duterte: The ties that bind,,False,True,2023
https://www.rappler.com/philippines/sara-duterte-satisfaction-rating-drops-octa-research-survey-october-2023/,Sara Duterte’s satisfaction rating dips by double digits in October – OCTA,,False,True,2023
https://www.rappler.com/newsbreak/in-depth/new-opposition-leader-why-not-sara-duterte/,Who is the real opposition leader and why can’t it be Sara Duterte?,,False,True,2024
https://www.rappler.com/philippines/vp-sara-duterte-resignation-letter-department-education-secretary-ntf-elcac-vice-chairperson/,"LOOK: VP Sara Duterte’s resignation letter as DepEd secretary, NTF-ELCAC vice chairperson",,False,True,2024
https://www.rappler.com/philippines/sara-duterte-says-marcos-still-trusts-her/,Sara Duterte on impeach rumors: I still have the President’s trust,,False,True,2023
https://www.rappler.com/newsbreak/investigative/227422-pcij-report-rodrigo-sara-paolo-duterte-big-spikes-wealth-cash-public-office/,"Duterte, Sara, Paolo mark big spikes in wealth, cash while in public office",,False,True,2019
https://www.rappler.com/newsbreak/in-depth/marcos-duterte-clans-clash-should-sara-resign-from-cabinet/,"As Marcos-Duterte clans clash, should Sara resign from the Cabinet?",,True,True,2024
https://www.rappler.com/voices/thought-leaders/opinion-sara-duterte-will-she-do-like-binay-or-robredo/,[OPINION] Sara Duterte: Will she do a Binay or a Robredo?,,False,True,2024
https://www.rappler.com/newsbreak/in-depth/sara-duterte-gives-up-bid-confidential-funds-2024-budget-political-strategy/,Sara Duterte gives up bid for confidential funds: Mere political strategy?,,False,True,2023
https://www.rappler.com/philippines/house-leaders-back-martin-romualdez-decry-bickering-rift-with-sara-duterte/,"Martin-Sara Duterte rift: House leaders back Romualdez, decry ‘political bickering’",,False,True,2023
https://www.rappler.com/philippines/sara-duterte-to-run-next-election/,Sara Duterte says she will run in next election,,False,True,2024
https://www.rappler.com/voices/thought-leaders/opinion-does-sara-duterte-have-game-plan-elections/,[OPINION] Does VP Sara Duterte have a game plan?,,False,True,2024
https://www.rappler.com/newsbreak/inside-track/muted-support-sara-duterte-attends-rally-calling-bongbong-marcos-resignation/,Muted support? Sara Duterte attends rally calling for Marcos’ resignation,,True,True,2024
https://www.rappler.com/philippines/marcos-approves-vice-president-sara-duterte-key-programs-department-education-matatag-agenda-april-2024/,Marcos OKs Sara Duterte’s key programs for DepEd,,True,True,2024
https://www.rappler.com/philippines/elections/bongbong-marcos-sara-duterte-tandem-official-pfp-lakas/,Bongbong Marcos-Sara Duterte tandem now official,,True,True,2021
https://www.rappler.com/philippines/sara-duterte-resigns-lakas-cmd-may-19-2023/,"Sara Duterte resigns from Lakas-CMD amid House drama between Romualdez, Arroyo",,False,True,2023
https://www.rappler.com/philippines/sara-duterte-resigns-lakas-cmd-may-19-2023/,"Sara Duterte resigns from Lakas-CMD amid House drama between Romualdez, Arroyo",,False,True,2023
